k,qpar_fid,qper_fid,qpar_ap,qper_ap,P0_fid_AB,P0_AP_AB,delta_P0_AP_minus_fid_AB,P2_fid_AB,P2_AP_AB,delta_P2_AP_minus_fid_AB,P4_fid_AB,P4_AP_AB,delta_P4_AP_minus_fid_AB
0.01,1,1,1.02,0.97999999999999998,37523.630499326566,37998.989646167465,475.35914684089948,22498.582541345102,22218.73698266202,-279.84555868308234,1570.6779308426894,2075.7069251081111,505.02899426542172
0.01201388888888889,1,1,1.02,0.97999999999999998,39965.052992701596,40452.933671556755,487.8806788551592,23920.531433096512,23754.086109024847,-166.4453240716648,1661.931030021381,2239.3444223277174,577.41339230633639
0.014027777777777778,1,1,1.02,0.97999999999999998,41372.126022042401,41857.981716305432,485.85569426303118,24713.471640471122,24679.656024512471,-33.815615958650596,1707.7487239237907,2347.1250870283511,639.37636310456037
0.016041666666666666,1,1,1.02,0.97999999999999998,41936.090163900888,42408.813875970503,472.72371206961543,24995.195511899707,25104.24954216987,109.05403027016291,1716.9944114981618,2408.1728623092786,691.17845081111682
0.018055555555555554,1,1,1.02,0.97999999999999998,41820.331620354191,42271.988819834049,451.65719947985781,24866.712030895986,25119.739654855748,253.02762395976242,1697.3418652032742,2430.0042308436105,732.66236564033625
0.020069444444444445,1,1,1.02,0.97999999999999998,41168.025524457466,41593.178775226959,425.15325076949375,24416.659746769139,24808.554874533118,391.89512776397896,1655.5446055003786,2419.7526764486784,764.20807094829979
0.022083333333333333,1,1,1.02,0.97999999999999998,40103.665521216128,40499.234593216199,395.56907200007117,23722.103297916627,24241.591554469022,519.48825655239489,1597.4650380413532,2383.5435229028835,786.07848486153034
0.024097222222222221,1,1,1.02,0.97999999999999998,38741.103005943245,39106.144090767993,365.0410848247484,22853.197149190146,23482.801199347472,629.60405015732613,1528.3675191740685,2326.4433473668551,798.0758281927865
0.026111111111111113,1,1,1.02,0.97999999999999998,37178.341918562975,37513.008679050261,334.6667604872855,21870.049619898102,22591.52556784507,721.47594794696852,1452.697980013997,2253.9695488763164,801.27156886231933
0.028124999999999997,1,1,1.02,0.97999999999999998,35494.578670905452,35800.763268673225,306.18459776777308,20821.016366970951,21612.941386519611,791.9250195486602,1373.9802876334043,2170.78331145837,796.80302382496575
0.030138888888888889,1,1,1.02,0.97999999999999998,33766.873872940683,34047.553642241357,280.6797693006738,19752.440748276353,20589.333237567393,836.89248929103996,1295.4462667507496,2079.1641614337459,783.7178946829963
0.03215277777777778,1,1,1.02,0.97999999999999998,32054.434820951014,32312.391797803681,257.95697685266714,18699.514578351133,19561.380374514523,861.86579616339077,1219.4585806227979,1983.9062966672982,764.44771604450034
0.034166666666666665,1,1,1.02,0.97999999999999998,30394.532102968096,30632.797886484848,238.26578351675198,17684.135013329054,18554.51630991781,870.3812965887555,1147.4256643255176,1888.8505250082881,741.42486068277049
0.036180555555555556,1,1,1.02,0.97999999999999998,28819.622802855592,29042.200845114065,222.57804225847212,16724.904374432801,17583.623037293746,858.71866286094519,1080.4477300531653,1794.4735869573351,714.02585690416981
0.038194444444444448,1,1,1.02,0.97999999999999998,27358.020589491964,27568.307959978596,210.28737048663243,15837.530580307242,16668.579878385768,831.04929807852568,1019.3456596189344,1702.5190230223643,683.1733634034299
0.040208333333333332,1,1,1.02,0.97999999999999998,26023.359984122879,26224.157253344616,200.79726922173722,15028.971231937339,15821.970716420034,792.99948448269424,964.34627640597682,1615.2389797925507,650.89270338657388
0.042222222222222223,1,1,1.02,0.97999999999999998,24818.891885469166,25012.567077293286,193.6751918241207,14300.090524640027,15048.510674084549,748.42014944452239,915.28485187583419,1533.8397728549303,618.5549209790961
0.044236111111111115,1,1,1.02,0.97999999999999998,23742.001563981416,23930.550665713137,188.54910173172175,13648.353178967731,14348.355344648351,700.00216568062024,871.79031301548775,1458.7868739485398,586.99656093305202
0.046249999999999999,1,1,1.02,0.97999999999999998,22786.603388547002,22971.740793988407,185.13740544140455,13069.26132902377,13718.947051931853,649.68572290808333,833.38513232936793,1390.2173860507787,556.83225372141078
0.048263888888888891,1,1,1.02,0.97999999999999998,21945.215138483531,22128.309413431263,183.09427494773263,12557.541584782964,13156.274647661527,598.73306287856212,799.55512797359506,1327.6302848852461,528.07515691165099
0.050277777777777775,1,1,1.02,0.97999999999999998,21207.279046306059,21388.660590330546,181.38154402448708,12106.312725618023,12658.036002474448,551.72327685642449,769.72457599134259,1271.1460759265597,501.42149993521707
0.052291666666666667,1,1,1.02,0.97999999999999998,20557.516333807242,20737.405893663432,179.88955985619032,11706.306247292496,12216.808225302233,510.50197800973729,743.24147459456708,1221.1615938115406,477.92011921697349
0.054305555555555558,1,1,1.02,0.97999999999999998,19981.614511473068,20159.757113996922,178.14260252385429,11348.975364193488,11824.785152880122,475.80978868663442,719.53090180437584,1176.6477611935879,457.1168593892121
0.056319444444444443,1,1,1.02,0.97999999999999998,19464.634896756281,19640.327537388548,175.69264063226728,11025.685789254338,11475.171354927021,449.48556567268315,698.06574181713268,1137.4358278739346,439.37008605680194
0.058333333333333334,1,1,1.02,0.97999999999999998,18991.691511088102,19164.063882115315,172.37237102721338,10728.086325528253,11159.874756491645,431.78843096339187,678.38334205641786,1103.0246392786348,424.64129722221696
0.060347222222222226,1,1,1.02,0.97999999999999998,18549.256631069773,18717.227394541573,167.97076347179973,10448.800217265511,10871.624511818984,422.82429455347301,660.11331594123067,1072.8276690537741,412.71435311254345
0.06236111111111111,1,1,1.02,0.97999999999999998,18125.081149470621,18287.388242940568,162.30709346994627,10181.378214704237,10603.856406250865,422.4781915466283,642.9728035109033,1046.2832345641373,403.31043105323397
0.064375000000000002,1,1,1.02,0.97999999999999998,17708.408831647514,17863.869466562461,155.46063491494715,9920.3591103592662,10350.208914259634,429.84980390036799,626.75693445060642,1022.9329795605722,396.1760451099658
0.066388888888888886,1,1,1.02,0.97999999999999998,17290.597273455809,17438.062838892358,147.46556543654879,9661.5694269499782,10105.547040964162,443.97761401418393,611.34409129582809,1002.3244337729666,390.98034247713849
0.068402777777777771,1,1,1.02,0.97999999999999998,16865.234210765084,17003.698557365795,138.464346600711,9402.1062548971058,9865.2445221958424,463.13826729873654,596.67897338031116,983.72612929333809,387.04715591302693
0.070416666666666669,1,1,1.02,0.97999999999999998,16427.908106552262,16556.702909818428,128.79480326616613,9140.1702328568426,9625.9783776011172,485.80814474427461,582.75632641764332,967.02265113365138,384.26632471600806
0.072430555555555554,1,1,1.02,0.97999999999999998,15976.741747577064,16095.318681817707,118.57693424064382,8875.2644005176062,9385.3047825068406,510.04038198923445,569.61437222962468,951.37953241831565,381.76516018869097
0.074444444444444438,1,1,1.02,0.97999999999999998,15511.435726888223,15619.763377747277,108.32765085905339,8607.6645904414945,9141.663234128644,533.99864368714952,557.30878248947283,936.8228659127949,379.51408342332206
0.076458333333333323,1,1,1.02,0.97999999999999998,15033.963183946358,15132.130479061127,98.167295114768422,8338.6891442425804,8894.6113361384232,555.92219189584284,545.90908302982371,922.63067895803943,376.72159592821572
0.078472222222222221,1,1,1.02,0.97999999999999998,14547.312156379023,14635.895555539013,88.583399159990222,8070.0655054307044,8644.3102226789997,574.24471724829527,535.47839209375343,908.87248089585728,373.39408880210385
0.080486111111111105,1,1,1.02,0.97999999999999998,14055.960782062382,14135.670380700394,79.709598638011812,7804.0863936292562,8391.7580157775283,587.67162214827204,526.06842450536806,895.05112540171513,368.98270089634707
0.08249999999999999,1,1,1.02,0.97999999999999998,13564.805352205651,13636.667387303127,71.86203509747611,7543.1233393907605,8138.4609508629364,595.33761147217592,517.7116519673209,881.24921787939365,363.53756591207275
0.084513888888888888,1,1,1.02,0.97999999999999998,13079.260030608719,13144.453808549037,65.193777940317887,7289.5979188749798,7886.1457048493457,596.54778597436598,510.41275087005715,867.26312411283197,356.85037324277482
0.086527777777777773,1,1,1.02,0.97999999999999998,12604.717354492932,12664.456486577757,59.739132084825542,7045.8020191714322,7637.0793372452608,591.27731807382861,504.15520865838289,853.04348201462881,348.88827335624592
0.088541666666666657,1,1,1.02,0.97999999999999998,12146.03919741754,12201.690698367829,55.651500950289119,6813.6027105908561,7393.2564474292749,579.65373683841881,498.89051694916952,838.82563279530564,339.93511584613611
0.090555555555555542,1,1,1.02,0.97999999999999998,11707.802021048044,11760.587664017894,52.785642969849505,6594.6343070738549,7156.7305857651518,562.0962786912969,494.55303458540243,824.36386585364903,329.8108312682466
0.09256944444444444,1,1,1.02,0.97999999999999998,11293.506420438127,11344.637650760267,51.131230322140254,6389.9258271035651,6929.5500969172945,539.62426981372937,491.05215108970378,810.11870588508623,319.06655479538244
0.094583333333333325,1,1,1.02,0.97999999999999998,10905.933260694259,10956.563289763249,50.630029068990552,6200.1018080686581,6712.8568721571346,512.7550640884765,488.28289665358807,796.00387127094496,307.72097461735689
0.096597222222222209,1,1,1.02,0.97999999999999998,10547.062828581997,10597.984610777603,50.921782195606283,6025.3950864709886,6508.3837223835062,482.98863591251757,486.1326234926978,782.07975122786547,295.94712773516767
0.098611111111111108,1,1,1.02,0.97999999999999998,10217.506885527357,10269.613808383825,52.106922856468373,5865.4143006973381,6316.6103785187879,451.19607782144976,484.48139118412337,768.85487555664804,284.37348437252467
