k,ell,group,variation,parameter_index,baseline_value,delta,Pell_baseline_AB,Pell_varied_AB,delta_Pell_AB,k_delta_Pell_AB
0.01,0,eft,alpha0_ab,0,0.40000000000000002,1,37523.630499326566,37525.114073625664,1.4835742990981089,0.01483574299098109
0.01201388888888889,0,eft,alpha0_ab,0,0.40000000000000002,1,39965.052992701596,39967.335622511935,2.2826298103391309,0.027423260915879839
0.014027777777777778,0,eft,alpha0_ab,0,0.40000000000000002,1,41372.126022042401,41375.350681960183,3.2246599177815369,0.04523481273554656
0.016041666666666666,0,eft,alpha0_ab,0,0.40000000000000002,1,41936.090163900888,41940.369027988127,4.2788640872386168,0.068640111399452808
0.018055555555555554,0,eft,alpha0_ab,0,0.40000000000000002,1,41820.331620354191,41825.743299132635,5.411678778444184,0.09771086683301998
0.020069444444444445,0,eft,alpha0_ab,0,0.40000000000000002,1,41168.025524457466,41174.615409459977,6.5898850025114371,0.13225533095318093
0.022083333333333333,0,eft,alpha0_ab,0,0.40000000000000002,1,40103.665521216128,40111.448254450086,7.7827332339584245,0.17186869224991522
0.024097222222222221,0,eft,alpha0_ab,0,0.40000000000000002,1,38741.103005943245,38750.067942997492,8.9649370542465476,0.21603008040441332
0.026111111111111113,0,eft,alpha0_ab,0,0.40000000000000002,1,37178.341918562975,37188.459024671167,10.117106108191365,0.26416888171388564
0.028124999999999997,0,eft,alpha0_ab,0,0.40000000000000002,1,35494.578670905452,35505.803666179607,11.224995274154935,0.31570299208560754
0.030138888888888889,0,eft,alpha0_ab,0,0.40000000000000002,1,33766.873872940683,33779.158206124892,12.284333184208663,0.37023615291295553
0.03215277777777778,0,eft,alpha0_ab,0,0.40000000000000002,1,32054.434820951014,32067.731164059762,13.29634310874826,0.42751436523266978
0.034166666666666665,0,eft,alpha0_ab,0,0.40000000000000002,1,30394.532102968096,30408.79559186018,14.263488892083842,0.48733587047953125
0.036180555555555556,0,eft,alpha0_ab,0,0.40000000000000002,1,28819.622802855592,28834.817033734082,15.194230878489179,0.54973571442311542
0.038194444444444448,0,eft,alpha0_ab,0,0.40000000000000002,1,27358.020589491964,27374.123899552709,16.103310060745571,0.61505698148681009
0.040208333333333332,0,eft,alpha0_ab,0,0.40000000000000002,1,26023.359984122879,26040.364594188832,17.004610065952875,0.68372702973518851
