k,P0_IR_on_AB,P0_IR_off_AB,delta_P0_AB,P2_IR_on_AB,P2_IR_off_AB,delta_P2_AB,P4_IR_on_AB,P4_IR_off_AB,delta_P4_AB
0.01,37523.630499326566,37523.62195256901,0.0085467575554503128,22498.582541345102,22498.557299305845,0.025242039257136639,1570.6779308426894,1570.6678152598261,0.01011558286336367
0.01201388888888889,39965.052992701596,39965.035193688818,0.017799012777686585,23920.531433096512,23920.476800585653,0.054632510858937167,1661.931030021381,1661.9090469793819,0.02198304199919221
0.014027777777777778,41372.126022042401,41372.095775223366,0.030246819034800865,24713.471640471122,24713.374344528733,0.097295942388882395,1707.7487239237907,1707.7094568301754,0.039267093615308113
0.016041666666666666,41936.090163900888,41936.047579853475,0.042584047412674408,24995.195511899707,24995.049008735241,0.14650316446568468,1716.9944114981618,1716.9351410001655,0.05927049799629458
0.018055555555555554,41820.331620354191,41820.28351894721,0.048101406981004402,24866.712030895986,24866.525717372067,0.18631352391821565,1697.3418652032742,1697.2662889154581,0.075576287816147669
0.020069444444444445,41168.025524457466,41167.989074986981,0.036449470484512858,24416.659746769139,24416.469065289726,0.19068147941288771,1655.5446055003786,1655.4668887461085,0.077716754270113597
0.022083333333333333,40103.665521216128,40103.671268471022,-0.0057472548942314461,23722.103297916627,23721.978480677921,0.12481723870587302,1597.4650380413532,1597.4132782260931,0.051759815260083997
0.024097222222222221,38741.103005943245,38741.196417917185,-0.093411973939510062,22853.197149190146,22853.248198916797,-0.051049726651399396,1528.3675191740685,1528.3856397308055,-0.018120556736903382
0.026111111111111113,37178.341918562975,37178.582847712445,-0.24092914946959354,21870.049619898102,21870.425856497404,-0.37623659930250142,1452.697980013997,1452.8454045658636,-0.14742455186660663
0.028124999999999997,35494.578670905452,35495.038069401402,-0.45939849595015403,20821.016366970951,20821.898915572467,-0.88254860151573666,1373.9802876334043,1374.3287900992864,-0.3485024658821203
0.030138888888888889,33766.873872940683,33767.627371236063,-0.75349829538026825,19752.440748276353,19754.027012328337,-1.5862640519844717,1295.4462667507496,1296.0736538872443,-0.62738713649468991
0.03215277777777778,32054.434820951014,32055.553948157409,-1.1191272063952056,18699.514578351133,18701.996605514643,-2.4820271635107929,1219.4585806227979,1220.4399889023844,-0.98140827958650334
0.034166666666666665,30394.532102968096,30396.073851490626,-1.5417485225298151,17684.135013329054,17687.673417882979,-3.53840455392492,1147.4256643255176,1148.8231833024183,-1.3975189769007557
0.036180555555555556,28819.622802855592,28821.618090422962,-1.9952875673698145,16724.904374432801,16729.599535866168,-4.695161433366593,1080.4477300531653,1082.2991194811984,-1.8513894280331442
0.038194444444444448,27358.020589491964,27360.462943097762,-2.4423536057984165,15837.530580307242,15843.39454401068,-5.8639637034375482,1019.3456596189344,1021.6535063991696,-2.3078467802351952
0.040208333333333332,26023.359984122879,26026.195575941209,-2.8355918183297035,15028.971231937339,15035.902790470551,-6.9315585332115006,964.34627640597682,967.06851611733509,-2.7222397113582701
0.042222222222222223,24818.891885469166,24822.011793177455,-3.1199077082892472,14300.090524640027,14307.855630211179,-7.7651055711521622,915.28485187583419,918.32751205034538,-3.0426601745111839
0.044236111111111115,23742.001563981416,23745.237386672779,-3.2358226913638646,13648.353178967731,13656.573468705856,-8.2202897381248476,871.79031301548775,875.00356279206608,-3.2132497765783228
0.046249999999999999,22786.603388547002,22789.726997869009,-3.1236093220068142,13069.26132902377,13077.412690316958,-8.1513612931885291,833.38513232936793,836.56336541745031,-3.1782330880823793
0.048263888888888891,21945.215138483531,21947.942961446202,-2.7278229626717803,12557.541584782964,12564.963780619,-7.4221958360358258,799.55512797359506,802.44141470486193,-2.8862867312668641
0.050277777777777775,21207.279046306059,21209.280371003173,-2.0013246971138869,12106.312725618023,12112.228803519925,-5.9160779019020993,769.72457599134259,772.01892377307195,-2.2943477817293569
0.052291666666666667,20557.516333807242,20558.425622710773,-0.90928890353097813,11706.306247292496,11709.851557718481,-3.5453104259850079,743.24147459456708,744.61272343777682,-1.3712488432097416
0.054305555555555558,19981.614511473068,19981.049282055908,0.56522941715957131,11348.975364193488,11349.240071661774,-0.26470746828636038,719.53090180437584,719.63360763397122,-0.10270582959537933
0.056319444444444443,19464.634896756281,19462.218063145476,2.4168336108050426,11025.685789254338,11021.767764810991,3.9180244433464395,698.06574181713268,696.56074372844932,1.5049980886833509
0.058333333333333334,18991.691511088102,18987.076561434733,4.6149496533689671,10728.086325528253,10719.151188178856,8.9351373493973369,678.38334205641786,674.96088082960705,3.4224612268108103
0.060347222222222226,18549.256631069773,18542.157506971373,7.0991240984003525,10448.800217265511,10434.151937739269,14.648279526241822,660.11331594123067,654.51970176782606,5.5936141734046032
0.06236111111111111,18125.081149470621,18115.305184203437,9.7759652671848016,10181.378214704237,10160.535537772346,20.84267693189031,642.9728035109033,635.03857614933258,7.9342273615707199
0.064375000000000002,17708.408831647514,17695.884531377436,12.524300270077219,9920.3591103592662,9893.1218446085259,27.237265750740335,626.75693445060642,616.42133323426833,10.335601216338091
0.066388888888888886,17290.597273455809,17275.40463518256,15.192638273249031,9661.5694269499782,9628.087503199662,33.481923750316128,611.34409129582809,598.67936952874334,12.664721767084757
0.068402777777777771,16865.234210765084,16847.622586694422,17.611624070661492,9402.1062548971058,9362.9211963971011,39.185058500004743,596.67897338031116,581.90435560356627,14.77461777674489
0.070416666666666669,16427.908106552262,16408.310521072664,19.59758547959791,9140.1702328568426,9096.2477264639565,43.922506392886135,582.75632641764332,566.24827159798087,16.508054819662448
0.072430555555555554,15976.741747577064,15955.769334604449,20.97241297261462,8875.2644005176062,8827.9798310073747,47.284569510231449,569.61437222962468,551.89876483119588,17.715607398428801
0.074444444444444438,15511.435726888223,15489.871537043566,21.564189844657449,8607.6645904414945,8558.7879494043464,48.876641037148147,557.30878248947283,539.05327954909944,18.25550294037339
0.076458333333333323,15033.963183946358,15012.722455739855,21.240728206503263,8338.6891442425804,8290.2930922672804,48.396051975299997,545.90908302982371,527.88708377903549,18.021999250788213
0.078472222222222221,14547.312156379023,14527.417771610599,19.894384768424061,8070.0655054307044,8024.4663406581421,45.59916477256229,535.47839209375343,518.54515603159052,16.933236062162905
0.080486111111111105,14055.960782062382,14038.469919958337,17.490862104044936,7804.0863936292562,7763.679548620803,40.406845008453274,526.06842450536806,511.10036174088555,14.968062764482511
0.08249999999999999,13564.805352205651,13550.776567525823,14.028784679827368,7543.1233393907605,7510.3020277557507,32.821311635009806,517.7116519673209,505.57434470269754,12.13730726462336
0.084513888888888888,13079.260030608719,13069.658672200971,9.6013584077481937,7289.5979188749798,7266.5477692055229,23.050149669456914,510.41275087005715,501.88858760203766,8.5241632680194925
0.086527777777777773,12604.717354492932,12600.384662446762,4.3326920461695408,7045.8020191714322,7034.4206219860134,11.381397185418791,504.15520865838289,499.91184909661274,4.2433595617701485
0.088541666666666657,12146.03919741754,12147.607484965614,-1.568287548074295,6813.6027105908561,6815.3226428501202,-1.7199322592641693,498.89051694916952,499.42179040756741,-0.53127345839789086
0.090555555555555542,11707.802021048044,11715.662254951032,-7.8602339029876021,6594.6343070738549,6610.3414618405677,-15.707154766712847,494.55303458540243,500.14852872604501,-5.595494140642586
0.09256944444444444,11293.506420438127,11307.772223819677,-14.265803381549631,6389.9258271035651,6419.8877287050373,-29.961901601472164,491.05215108970378,501.77576446866192,-10.723613378958134
0.094583333333333325,10905.933260694259,10926.409261091772,-20.476000397513417,6200.1018080686581,6243.9009220610715,-43.799113992413368,488.28289665358807,503.95207282877232,-15.669176175184248
0.096597222222222209,10547.062828581997,10573.251195577432,-26.18836699543499,6025.3950864709886,6081.9389622929739,-56.543875821985239,486.1326234926978,506.32301989405164,-20.190396401353837
0.098611111111111108,10217.506885527357,10248.621416759703,-31.114531232346053,5865.4143006973381,5932.9802454329738,-67.56594473563564,484.48139118412337,508.54889086461822,-24.067499680494848
0.10062499999999999,9917.5747185926975,9952.5408213892733,-34.966102796575797,5719.6387860208933,5795.8702866907624,-76.231500669869092,483.2122927177038,510.29283656346115,-27.080543845757347
0.10263888888888888,9646.3289064114288,9683.8574512349514,-37.52854482352268,5587.0859264957544,5669.1579497991015,-82.072023303347123,482.22064550062032,511.29195762969357,-29.071312129073249
0.10465277777777778,9402.2514957171061,9440.8665562915194,-38.615060574413292,5466.5751894937375,5551.2620056102742,-84.686816116536647,481.41166719581634,511.32092770912209,-29.909260513305753
0.10666666666666666,9183.526535192188,9221.6007731633908,-38.07423797120282,5356.8743530068023,5440.6273629266689,-83.753009919866599,480.70576177752787,510.19869535405155,-29.492933576523683
0.10868055555555554,8987.5439967850725,9023.4173193037659,-35.873322518693385,5256.5810414847765,5335.783050021314,-79.202008536537505,480.05266333696068,507.86290075007696,-27.810237413116283
0.11069444444444444,8811.5845059017847,8843.5773309677097,-31.99282506592499,5164.3074286275587,5235.3131147969762,-71.005686169417459,479.41313083640284,504.28026491802393,-24.867134081621089
0.11270833333333333,8652.787739910098,8679.2774899883079,-26.489750078209909,5078.7435563925492,5138.041855661394,-59.298299268844858,478.77181054078892,499.49694632109731,-20.725135780308392
0.11472222222222221,8508.0786220863047,8527.6202391838397,-19.541617097534981,4998.6671665962485,5043.1310034732596,-44.46383687701109,478.14274985478323,493.67125577544994,-15.528505920666703
0.11673611111111111,8374.4015170252314,8385.7364478414565,-11.334930816225096,4922.9208041304901,4949.8442260838419,-26.923421953351863,477.54810841986728,486.98666212930925,-9.438553709441976
0.11874999999999999,8248.9191830401505,8251.055163838515,-2.1359807983644714,4850.5466280978726,4857.8071729091607,-7.2605448112881277,477.02321424902561,479.69052101409557,-2.6673067650699522
0.12076388888888888,8129.0377739333462,8121.3520504430817,7.6857234902645359,4780.798091509072,4767.0602281763449,13.737863332727102,476.61492704022453,472.10280736100231,4.5121196792222236
0.12277777777777778,8012.2116942904086,7994.4615705152146,17.75012377519397,4712.9889484997584,4677.7456634555429,35.243285044215554,476.37353707000921,464.56426051841345,11.809276551595758
0.12479166666666666,7896.3513444439322,7868.6974457049419,27.653898738990392,4646.64061724782,4590.2569029002343,56.383714347585737,476.34588115556471,457.42131624633384,18.924564909230867
0.12680555555555556,7780.0112914265119,7743.0576314647669,36.953659961744961,4581.535298816163,4505.3053506570095,76.229948159153537,476.56924457273317,451.01719299058459,25.552051582148579
0.12881944444444443,7661.8091533312418,7616.6166611321005,45.19249219914127,4517.4949037718725,4423.6810121002209,93.813891671651618,477.07962126180814,445.70677628155795,31.372844980250193
0.13083333333333333,7540.691203943079,7488.74276633093,51.948437612149064,4454.4399249406079,4346.2038644359063,108.23606050470153,477.90493017320068,441.8123482286195,36.092581944581184
0.13284722222222223,7416.5316145480829,7359.6136281133968,56.9179864346861,4392.5179584621656,4273.6472737246504,118.87068473751515,479.04817362774133,439.52993276076279,39.518240866978545
0.1348611111111111,7289.3678813959777,7229.5582565732357,59.80962482274208,4331.9080461635613,4206.7839691874497,125.12407697611161,480.50581950575031,439.03422494755273,41.47159455819758
0.136875,7159.2838754400727,7098.9421070652843,60.341768374788444,4272.7860246873752,4146.3622787427794,126.42374594459579,482.270942938247,440.48763227226198,41.783310665985027
0.1388888888888889,7026.9375624183385,6968.4779971416156,58.459565276722969,4215.3836139617943,4092.7193621680012,122.66425179379303,484.31980198941142,443.88463472932642,40.435167260084995
0.14090277777777779,6893.3349353474969,6839.0840696258574,54.250865721639457,4159.9526626210936,4045.9086993230626,114.04396329803103,486.61812659746647,449.10888831138027,37.509238286086202
0.14291666666666666,6759.4685587178719,6711.6676327862106,47.800925931661368,4106.7178605407826,4005.9450928918204,100.77276764896214,489.13048315167453,456.03463337965957,33.095849772014958
0.14493055555555556,6626.3349044740789,6587.0734743037692,39.261430170309723,4055.8499638004687,3972.6500225274522,83.19994127301652,491.81827051044866,464.48858451838134,27.329685992067311
0.14694444444444446,6494.9934515505402,6465.9745784174147,29.018873133125453,4007.417436854123,3945.2950729646282,62.122363889494864,494.63583538963587,474.16074651217662,20.475088877459257
0.14895833333333333,6366.5041537536435,6348.9911291162562,17.513024637387389,3961.450650867499,3922.9962685527607,38.454382314738268,497.53709266127112,484.70351207300359,12.833580588267523
0.15097222222222223,6241.9057960348564,6236.7182588971345,5.1875371377218471,3917.9528488464948,3904.8124264131566,13.140422433338244,500.47687273897043,495.75664747202904,4.7202252669413838
0.15298611111111113,6122.0238478451192,6129.5232304905858,-7.4993826454665395,3876.8332986294381,3889.6873418944233,-12.854043264985194,503.40952979837709,506.9582193238507,-3.5486895254736055
0.155,6007.3200085147637,6027.3792224734971,-20.05921395873338,3837.8644148208468,3876.4109694468743,-38.5465546260275,506.28807662731413,517.95593924418529,-11.667862616871162
0.1570138888888889,5898.2119404442592,5930.2025876325915,-31.990647188332332,3800.7964431077771,3863.7205188961407,-62.924075788363552,509.06662090573866,528.39037835390559,-19.32375744816693
0.1590277777777778,5795.1066777933456,5837.8912571359961,-42.784579342650431,3765.3681396701377,3850.3128594840314,-84.944719813893698,511.70063120603822,537.89333853689595,-26.192707330857729
0.16104166666666667,5698.1838443566803,5750.1960429993778,-52.012198642697513,3731.3085556428896,3835.041445500774,-103.7328898578844,514.15694312069297,546.16341857470024,-32.006475454007273
0.16305555555555556,5607.2177409970172,5666.6173317324701,-59.399590735452875,3698.3499571180678,3817.1043759390113,-118.75441882094356,516.42230844095889,553.03524173962967,-36.612933298670782
0.16506944444444446,5521.9432920314466,5586.6265808339276,-64.683288802481002,3666.2316782174667,3795.7327408994979,-129.50106268203126,518.48650693521267,558.35719496216689,-39.870688026954213
0.16708333333333333,5442.0998796182066,5509.6928488126296,-67.592969194422949,3634.6996775381499,3770.1517321941792,-135.4520546560293,520.34021065078286,561.97633901928361,-41.636128368500749
0.16909722222222223,5367.3749404502341,5435.3017571756372,-67.926816725403114,3603.5492290721731,3739.7712350183833,-136.22200594621017,521.9844223211993,563.79194385515609,-41.807521533956788
0.1711111111111111,5297.2674530839213,5363.0068034126371,-65.739350328715773,3572.7340088195992,3704.6667312861155,-131.93272246651622,523.45383129453899,563.88993680845806,-40.436105513919074
0.173125,5231.2441796428566,5292.3853672074993,-61.141187564642678,3542.2550516270476,3665.0803725702335,-122.82532094318594,524.7908361381709,562.40172898660467,-37.610892848433764
0.1751388888888889,5168.7833712644679,5223.025778498738,-54.242407234270104,3512.1302688963647,3621.2812965865651,-109.15102769020041,526.03830879441489,559.46480343597329,-33.426494641558406
0.17715277777777777,5109.3771854689658,5154.54185876253,-45.164673293564192,3482.3968220019178,3573.590676185383,-91.193854183465191,527.23880114355643,555.22812184543818,-27.989320701881752
0.17916666666666667,5052.5480906483817,5086.7691931326854,-34.221102484303628,3453.1292499969236,3522.7165811725808,-69.587331175657255,528.42522601161261,549.92430421117365,-21.49907819956104
0.18118055555555557,4997.8406339338644,5019.7176722362819,-21.877038302417532,3424.4291985961499,3469.6746708697119,-45.245472273561973,529.62250285740834,543.85258511881773,-14.230082261409393
0.18319444444444444,4944.8078933590868,4953.4163642118365,-8.6084708527496332,3396.4093651779599,3415.5247805105405,-19.115415332580596,530.85446896024098,537.32207325279796,-6.4676042925569845
0.18520833333333334,4893.0128050309158,4887.9099183725448,5.1028866583710624,3369.1944419407964,3361.3651441170123,7.8292978237841453,532.14390265763973,530.6505171576938,1.49338549994593
0.18722222222222223,4842.0643429895163,4823.2958044083762,18.768538581140092,3342.918009456524,3308.3203081567044,34.597701299819619,533.51005480688298,524.15580526696363,9.3542495399193513
0.1892361111111111,4791.7567738539874,4759.8735620702028,31.883211783784645,3317.7019814098671,3257.4828944172264,60.219086992640769,534.95952699351096,518.11914960305785,16.840377390453114
0.19125,4741.9421938238993,4698.0128537887067,43.929340035192581,3293.6637072055037,3209.9497670955561,83.713940109947544,536.49465560249598,512.81333467280808,23.681320929687899
0.1932638888888889,4692.4740488173338,4638.0932901608103,54.38075865652354,3270.9223042257186,3166.842236409921,104.08006781579752,538.11723333237308,508.51664150638612,29.600591825986953
0.19527777777777777,4643.208140864087,4580.5046615467891,62.703479317297933,3249.5995064218823,3129.3066999611156,120.29280646076677,539.82844108453764,505.51299589829159,34.315445186246052
0.19729166666666667,4594.0402789685031,4525.5987384366963,68.441540531806822,3229.7747479984937,3098.3001684573087,131.47457954118499,541.62202592705819,504.03665748401545,37.585368443042739
0.19930555555555557,4545.0209025263894,4473.5298398698178,71.491062656571557,3211.3364528273769,3073.8920138924614,137.44443893491552,543.46300722906051,504.09260316734492,39.37040406171559
0.20131944444444444,4496.2358664649746,4424.3956700098315,71.840196455143086,3194.11660924328,3055.9070417242028,138.20956751907715,545.30895336137996,505.62303860113684,39.685914760243122
0.20333333333333334,4447.7649930923199,4378.2890357993065,69.47595729301338,3177.9397788344208,3044.1579881464804,133.78179068794043,547.11753499544841,508.5674537809864,38.550081214462011
0.20534722222222224,4399.6817664588498,4335.2977090060849,64.384057452764864,3162.6230642460268,3038.4451804863779,124.17788375964892,548.84664102146508,512.86254665926674,35.984094362198334
