k,mu,case,P_AA,P_AB,P_BB,geometric_mean,r_minus_one,valid_geometric_mean,construction
0.01,0.5,linear_deterministic,48975.64450733758,34282.887484238141,23997.976669420761,34282.887484238141,0,1,Linear deterministic
0.01201388888888889,0.5,linear_deterministic,52215.686548191865,36550.748220559413,25585.361101203205,36550.748220559421,-2.2204460492503131e-16,1,Linear deterministic
0.014027777777777778,0.5,linear_deterministic,54114.450021217323,37879.750206687015,26515.569781424656,37879.750206687015,0,1,Linear deterministic
0.016041666666666666,0.5,linear_deterministic,54917.931159017644,38442.086913725849,26909.135415233042,38442.086913725841,2.2204460492503131e-16,1,Linear deterministic
0.018055555555555554,0.5,linear_deterministic,54835.805526803073,38384.52653502355,26868.792446164771,38384.52653502355,0,1,Linear deterministic
0.020069444444444445,0.5,linear_deterministic,54051.638369666594,37835.560130657374,26484.481388152595,37835.560130657374,0,1,Linear deterministic
0.022083333333333333,0.5,linear_deterministic,52725.042259304508,36906.912294691429,25834.406512735772,36906.912294691429,0,1,Linear deterministic
0.024097222222222221,0.5,linear_deterministic,51002.387240452415,35701.038240877395,24990.283797258671,35701.038240877402,-2.2204460492503131e-16,1,Linear deterministic
0.026111111111111113,0.5,linear_deterministic,49010.024027066815,34306.380129774494,24014.02041669278,34306.380129774494,0,1,Linear deterministic
0.028124999999999997,0.5,linear_deterministic,46850.337945627085,32794.604884614972,22955.78125362052,32794.604884614972,0,1,Linear deterministic
0.030138888888888889,0.5,linear_deterministic,44623.883316381762,31236.097946937964,21864.834309310718,31236.097946937964,0,1,Linear deterministic
0.03215277777777778,0.5,linear_deterministic,42408.47850637701,29685.330065413487,20779.30763208192,29685.330065413487,0,1,Linear deterministic
0.034166666666666665,0.5,linear_deterministic,40253.470609054362,28176.842653109517,19723.379124470062,28176.842653109521,-1.1102230246251565e-16,1,Linear deterministic
0.036180555555555556,0.5,linear_deterministic,38202.475423803146,26741.165438981254,18718.418665336238,26741.165438981257,-1.1102230246251565e-16,1,Linear deterministic
0.038194444444444448,0.5,linear_deterministic,36294.260943715912,25405.434868639335,17783.420961942134,25405.434868639335,0,1,Linear deterministic
0.040208333333333332,0.5,linear_deterministic,34548.365603319689,24183.327076938203,16927.958770182082,24183.327076938203,0,1,Linear deterministic
0.042222222222222223,0.5,linear_deterministic,32970.595198107396,23078.905644754166,16154.876263502832,23078.905644754166,0,1,Linear deterministic
0.044236111111111115,0.5,linear_deterministic,31558.940367628053,22090.763737654925,15463.188460328134,22090.763737654925,0,1,Linear deterministic
0.046249999999999999,0.5,linear_deterministic,30306.69758831077,21214.208741481434,14849.610427390406,21214.208741481434,0,1,Linear deterministic
0.048263888888888891,0.5,linear_deterministic,29205.255867744414,20443.21289400211,14309.922683850509,20443.212894002107,2.2204460492503131e-16,1,Linear deterministic
