k,P0_single,P0_geometric,P2_single,P2_geometric,P4_single,P4_geometric,fractional_difference_P0,fractional_difference_P2,fractional_difference_P4
0.01,37523.687442015682,37523.706584636195,22498.746408260478,22498.801469171514,1570.7533197651974,1570.7786082879165,5.101476378739957e-07,2.4472879527085263e-06,1.6099614370349201e-05
0.01201388888888889,39965.176147858903,39965.217498960657,23920.885964909528,23921.004920558335,1662.0942027248857,1662.148818124876,1.0346783309832146e-06,4.9728780522866282e-06,3.285938901705289e-05
0.014027777777777778,41372.356694827191,41372.434035022532,24714.135871134724,24714.35836238589,1708.054488554234,1708.1565667317464,1.8693688617154318e-06,9.0025907572339906e-06,5.9762834380501928e-05
0.016041666666666666,41936.478775660114,41936.608853349971,24996.314809784169,24996.68899836966,1717.5096720171005,1717.6811771051998,3.1017790156594227e-06,1.496975007468549e-05,9.9856839756800055e-05
0.018055555555555554,41820.934954806376,41821.136525201757,24868.450213321794,24869.030013112912,1698.1419867585955,1698.407408959949,4.8198443099869667e-06,2.3314673256442022e-05,0.00015630153628087799
0.020069444444444445,41168.903161546987,41169.195758201196,24419.188879872378,24420.030429354447,1656.7087456640274,1657.0934656672343,7.1072249134649817e-06,3.4462630442360476e-05,0.00023221945572134584
0.022083333333333333,40104.875882738736,40105.278469534969,23725.592405365096,23726.75021053258,1599.0710175033801,1599.5995424194125,1.0038350384396476e-05,4.8799842284332956e-05,0.00033051997706619752
0.024097222222222221,38742.699799326569,38743.229569689327,22857.802088924291,22859.325603724959,1530.487271978086,1531.181697068967,1.3674069321509584e-05,6.6651850197217881e-05,0.00045372810581000624
0.026111111111111113,37180.37114608581,37181.042526768404,21875.904601004066,21877.83540761262,1455.3937906547799,1456.2725586820761,1.8057395929583546e-05,8.8261795055803122e-05,0.00060380086333946051
0.028124999999999997,35497.07620941475,35497.900070825512,20828.227107001447,20830.596696811095,1377.3017969455077,1378.3787493838081,2.3209275206243625e-05,0.00011376819531855007,0.00078192916083373446
0.030138888888888889,33769.865839475082,33770.849640410277,19761.085585026874,19763.915804880966,1299.4310767686502,1300.7157065132415,2.9132509435236449e-05,0.00014322188130372199,0.00098860937494722658
0.03215277777777778,32057.938346559611,32059.08641766361,18709.646713951402,18712.950597743002,1224.1333329595782,1225.6311989609558,3.5812381057926846e-05,0.00017658718211582158,0.0012236134423006097
0.034166666666666665,30398.555446336424,30399.869059883196,17695.782830918768,17699.564811420267,1152.8061898338974,1154.519039498743,4.321302533901878e-05,0.00021372213581253609,0.001485808872254955
0.036180555555555556,28824.168672870575,28825.647161566398,16738.080844008611,16742.339918875736,1086.5431979055084,1088.4703626030569,5.1293368166203746e-05,0.00025445419381213684,0.0017736659722903186
0.038194444444444448,27363.091645282533,27364.73421042633,15852.248789154408,15856.983602100119,1026.1653616524018,1028.3059393022641,6.0028492580072029e-05,0.00029868399169654639,0.0020859967894603019
0.040208333333333332,26028.961705071884,26030.768341834446,15045.252329128241,15050.46370798002,971.90287357197076,974.25673149162867,6.9408714148190762e-05,0.00034638028912872983,0.0024219065337330804
0.042222222222222223,24825.034753707165,24827.006935037298,14317.969645498873,14323.662428943551,923.59661451792817,926.1650360653648,7.944324548583025e-05,0.00039759711646458745,0.0027808910373466641
0.044236111111111115,23748.703252446412,23750.844596992949,13667.885337194841,13674.07013292559,880.88326455678225,883.66952824239797,9.0166798741580625e-05,0.00045250567868887698,0.0031630339657067216
0.046249999999999999,22793.89073862115,22796.207592281797,13090.526684595319,13097.221367743381,843.294866046685,846.30468583373477,0.00010164362404004632,0.00051141434637156258,0.0035691190688253755
0.048263888888888891,21953.126806529923,21955.629016513172,12580.652594399708,12587.884332679636,810.32943691232049,813.57160838521168,0.00011397966245542788,0.00057483013903011188,0.0040010535532871141
0.050277777777777775,21215.86519198813,21218.565923220514,12131.412933338093,12139.217529264726,781.42241997336851,784.90832908274615,0.0001272977183793513,0.00064333775212491314,0.0044609791327672003
0.052291666666666667,20566.833390060201,20569.747399264346,11733.555167491157,11741.972102010495,755.92585527613619,759.66720320349759,0.00014168487432555263,0.00071733881156995499,0.0049493583282644912
0.054305555555555558,19991.723221292268,19994.86619033412,11378.542806081125,11387.613323350797,733.26618116556074,737.27410898756352,0.00015721351316550462,0.00079715983182178092,0.0054658566356244557
0.056319444444444443,19475.594398653317,19478.981061539787,11057.735168456762,11067.497066811231,712.91036782544234,717.19331355342911,0.00017389265853189618,0.00088281173366456459,0.0060076917397776713
0.058333333333333334,19003.552379050139,19007.194382992762,10762.755212005424,10773.236988271268,694.38166384574242,698.94309704246598,0.00019164858601058131,0.00097389339991232123,0.0065690576727799122
0.060347222222222226,18562.054255957599,18565.958196685991,10486.182155678662,10497.397767513117,677.28841152542236,682.12502033984401,0.00021031835563887732,0.001069561034506909,0.0071411362310605658
0.06236111111111111,18138.827719784655,18142.992822499269,10221.500873942419,10233.443647050693,661.3181256735088,666.41784178269609,0.00022962358863309857,0.0011683972105035769,0.0077114416061007862
0.064375000000000002,17723.086025860001,17727.502130296722,9963.1646336911235,9975.8021128191613,646.22923273406013,651.56979761486946,0.00024917243138567808,0.0012684201850186475,0.0082641957532848167
0.066388888888888886,17306.149837055473,17310.795733383959,9706.8975829479441,9720.1674851651223,631.85798787358499,637.4061493308468,0.00026845349036203081,0.0013670590529861373,0.0087807095324271278
0.068402777777777771,16881.565892329567,16886.408438891296,9449.6842773055923,9463.4926416005255,618.10452573580505,623.81617437773093,0.00028685411013498134,0.0014612513910221777,0.0092405869947750439
0.070416666666666669,16444.878833309373,16449.872498025354,9189.606245036246,9203.8267933821298,604.91828024926508,610.7391259174492,0.00030366077893297636,0.001547460028939217,0.0096225322630117214
0.072430555555555554,15994.169059115646,15999.256752488303,8926.0525770775621,8940.5295465693926,592.2961062461427,598.16359836840957,0.00031809676100416173,0.001621878133342824,0.0099063493080410216
0.074444444444444438,15529.096495389429,15534.210485477084,8659.1910569875727,8673.7422211387711,580.25647247338156,586.10173322991932,0.00032931665336572856,0.0016804299680460725,0.010073581310729624
0.076458333333333323,15051.601569037182,15056.666186137267,8390.254665434577,8404.6789909794988,568.84197784373873,574.59314005649549,0.00033648360122041189,0.0017191761299386937,0.010110298530634464
0.078472222222222221,14564.645484297776,14569.579151503272,8120.9023048138743,8134.9857110584944,558.09648749245116,563.68120179948392,0.00033874269104696266,0.0017342169276278402,0.010006718250682941
0.080486111111111105,14072.692293158116,14077.411444487261,7853.3930157697623,7866.9188375797576,548.06604803558594,553.4151489110327,0.00033534104426058019,0.0017222901977317503,0.009759956659638672
0.08249999999999999,13580.632361713029,13585.053923471763,7590.0868680290332,7602.8424188962917,538.78589704326032,543.83557362295414,0.00032557848861292028,0.0016805540027463285,0.0093723250875818193
0.084513888888888888,13093.888891035233,13097.934566394515,7333.433737797578,7345.2212304207942,530.27724110339568,534.97210445036262,0.00030897431564830399,0.0016073633504672885,0.0088536014428941268
0.086527777777777773,12617.87187016891,12621.470427950904,7085.7757687954127,7096.4179355585793,522.54693111444431,526.84121389774418,0.00028519530226816544,0.0015019056643074975,0.0082179848882499244
0.088541666666666657,12157.472874971025,12160.5633867912,6849.0618173155117,6858.4096819988645,515.57920994845881,519.43824090299154,0.00025420676253680273,0.0013648387082329876,0.0074848459365118797
0.090555555555555542,11717.305850887442,11719.839552706308,6625.0273481389922,6632.9643479895567,509.34573747354693,512.74611998202408,0.00021623586950013504,0.0011980327677883489,0.0066759810837795633
0.09256944444444444,11300.915250810795,11302.856922935778,6414.818029415178,6421.2628307455889,503.79642173228808,506.72579462420572,0.00017181547528588803,0.0010046740688291103,0.0058145964630814196
0.094583333333333325,10911.131632751434,10912.460744765063,6219.1888811954359,6224.0974940277492,498.86905479845541,501.32550419204858,0.00012181248090157715,0.00078926897479431718,0.0049240364179044703
0.096597222222222209,10549.986281710904,10550.696855159094,6038.5050662175136,6041.8697216337878,494.49188224634736,496.4824847562013,6.7353021057668566e-05,0.00055720006514490173,0.0040255514424446283
0.098611111111111108,10218.140026381056,10218.239624494585,5872.5012232617119,5874.3471881261457,490.5820296549889,492.12112390596985,9.7471862072883326e-06,0.00031434048189241467,0.0031372821627065083
0.10062499999999999,9915.9523526676912,9915.4618759939385,5720.7841199318782,5721.1684428158715,487.05776349975508,488.16555202504333,-4.946339557801089e-05,6.7180106072214438e-05,0.0022744499899318401
0.10263888888888888,9642.5248001341097,9641.4750858398038,5582.4680705618284,5581.4706402053416,483.83814246702036,484.53782036763687,-0.00010886301213259898,-0.00017867193217755732,0.0014460990963815938
0.10465277777777778,9396.3733805645315,9394.8035243859886,5456.4555725130385,5454.1745566553309,480.8465247220422,481.16265957612359,-0.00016707043398148371,-0.00041803984791854418,0.00065745479654683579
0.10666666666666666,9175.7098772071222,9173.6653040656438,5341.5804094549931,5338.1271669087646,478.01493229059588,477.97184271341189,-0.00022282451917504575,-0.00064648330297826671,-9.0142742984012712e-05
0.10868055555555554,8977.9325152336296,8975.4598301522292,5236.4552311567704,5231.9416850753369,475.28824778378203,474.90718117467782,-0.00027541809622703186,-0.00086194684804676263,-0.00080175895549928285
0.11069444444444444,8800.3259576188284,8797.4718085073546,5139.6964217214818,5134.2323572689238,472.61944310415038,471.91819381583105,-0.00032432311316864964,-0.0010631103482037665,-0.0014837504011970971
0.11270833333333333,8640.0203407741774,8636.8280541825552,5049.9633803406687,5043.6485452041161,469.97514461797368,468.96680967526686,-0.00036947674492814189,-0.001250471470968682,-0.0021455069576636109
0.11472222222222221,8493.9108456651356,8490.4156466386994,4965.9517458237997,4958.8648672151503,467.33674498144183,466.02830045322526,-0.00041149466835056466,-0.0014270937317522698,-0.0027997895356345836
0.11673611111111111,8358.9078767101801,8355.1361868709901,4886.412490873774,4878.6102607351804,464.69331871041322,463.08650075051082,-0.00045121801733199974,-0.0015967195060109251,-0.0034578030180454017
0.11874999999999999,8232.1292049164895,8228.096385122748,4810.269814050168,4801.7824264377778,462.0421918926661,460.13400252814859,-0.00048988781557667753,-0.0017644306744706182,-0.0041299028487008609
0.12076388888888888,8110.923122514123,8106.6309294584316,4736.6286376239314,4727.4548937132213,459.38677842424136,457.17021291618516,-0.00052918675110816163,-0.0019367665511797359,-0.0048250529013031474
0.12277777777777778,7992.6832057532338,7988.1197077620918,4664.6492378747298,4654.7574756470276,456.73670805672327,454.20258822043183,-0.0005709594479932715,-0.0021205800743571038,-0.0055483165499732937
0.12479166666666666,7875.258686703748,7870.3988096032226,4593.7015399875381,4583.0320616948839,454.10296059101961,451.24193041105491,-0.00061710697944825858,-0.0023226320212094624,-0.006300399751283367
0.12680555555555556,7757.1438371221557,7751.9501821212316,4523.421331512096,4511.8894209158789,451.49237411669765,448.2968226274088,-0.00066953186765335141,-0.0025493779489168715,-0.0070777529643565778
0.12881944444444443,7636.8953250970062,7631.3186380698617,4453.4853410868118,4440.9834476510168,448.9152039152591,445.38108801408316,-0.00073022960113358723,-0.0028072155802232952,-0.0078725689625853395
0.13083333333333333,7513.4053602587937,7507.3866668907167,4383.6886548661396,4370.0921385123474,446.38250125029754,442.51120297487932,-0.00080106064819983683,-0.003101615425789705,-0.0086726031252902566
0.13284722222222223,7386.5155058371647,7379.9913281813842,4314.108203245095,4299.2873798339988,443.89568088935584,439.69549276961629,-0.00088325512220542568,-0.003435431545260703,-0.0094621063023735009
0.1348611111111111,7256.2351456990564,7249.1387853308497,4244.8648469709078,4228.6882311808604,441.45444094046525,436.94124341719407,-0.00097796725515611796,-0.0038108671001836261,-0.010223472922044579
0.136875,7122.623210601364,7114.8856889876533,4176.085240967931,4158.4219328914505,439.05877403745922,434.25650140062191,-0.00108633032871851,-0.0042296330312420706,-0.010937653272879556
0.1388888888888889,6986.3405173367391,6977.8966623005999,4108.0192455455954,4088.7516404975977,436.70572483269586,431.64612767707058,-0.0012086234581875335,-0.0046902421571880203,-0.011585827407148464
0.14090277777777779,6848.4134186974989,6839.2054572428997,4040.9779366579864,4020.0086675003267,434.38807801026451,429.10967559776111,-0.0013445393687039466,-0.0051891570521669173,-0.012151351935535093
0.14291666666666666,6709.855443288774,6699.8328979383477,3975.2452090898064,3952.4962765422165,432.09483308123367,426.64178267279487,-0.0014937051081258229,-0.0057226488810230205,-0.012620031509179437
