k,variation,tracer,parameter_index,baseline_value,delta,P0_baseline_AB,P0_varied_AB,fractional_response
0.01,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,37523.630499326566,37524.075103041832,1.184863269758895e-05
0.01201388888888889,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,39965.052992701596,39966.111368323094,2.6482527664646198e-05
0.014027777777777778,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,41372.126022042401,41374.116377108789,4.8108600107404098e-05
0.016041666666666666,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,41936.090163900888,41939.360508059544,7.7984002463623195e-05
0.018055555555555554,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,41820.331620354191,41825.241687404428,0.0001174086110749012
0.020069444444444445,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,41168.025524457466,41174.93055158791,0.0001677279160823943
0.022083333333333333,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,40103.665521216128,40112.901130212682,0.0002302933878118519
0.024097222222222221,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,38741.103005943245,38752.976128319773,0.00030647352437814169
0.026111111111111113,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,37178.341918562975,37193.124649109108,0.00039761672477253273
0.028124999999999997,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,35494.578670905452,35512.50342312007,0.00050499971786707384
0.030138888888888889,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,33766.873872940683,33788.13271017497,0.00062957670627967056
0.03215277777777778,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,32054.434820951014,32079.183083876116,0.00077206985752021316
0.034166666666666665,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,30394.532102968096,30422.893401912577,0.00093310529829512996
0.036180555555555556,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,28819.622802855592,28851.693662682323,0.0011128133093939181
0.038194444444444448,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,27358.020589491964,27393.875186395177,0.001310569848645573
0.040208333333333332,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,26023.359984122879,26063.056025978942,0.0015254003280238183
0.042222222222222223,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,24818.891885469166,24862.477334686242,0.0017561400169761291
0.044236111111111115,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,23742.001563981416,23789.520835531592,0.0020014854864750273
0.046249999999999999,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,22786.603388547002,22838.101835906164,0.0022600317599351097
0.048263888888888891,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,21945.215138483531,22000.741408686186,0.002530222185212659
0.050277777777777775,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,21207.279046306059,21266.885690298383,0.002810669103856858
0.052291666666666667,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,20557.516333807242,20621.259388089318,0.0031007176765439274
0.054305555555555558,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,19981.614511473068,20049.552638301931,0.0034000319038211182
0.056319444444444443,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,19464.634896756281,19536.828222729568,0.0037089483751538352
0.058333333333333334,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,18991.691511088102,19068.200035682148,0.0040285260820173713
0.060347222222222226,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,18549.256631069773,18630.138089482072,0.0043603611735482609
0.06236111111111111,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,18125.081149470621,18210.387859549981,0.0047065560355767661
0.064375000000000002,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,17708.408831647514,17798.184507309717,0.005069663599688393
0.066388888888888886,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,17290.597273455809,17384.873148505216,0.0054524360008163077
0.068402777777777771,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,16865.234210765084,16964.025632780013,0.0058576964173951461
0.070416666666666669,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,16427.908106552262,16531.212032631869,0.0062883189636545409
0.072430555555555554,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,15976.741747577064,16084.534777074117,0.0067468718716318385
0.074444444444444438,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,15511.435726888223,15623.673843037985,0.0072358302690964226
0.076458333333333323,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,15033.963183946358,15150.582299936148,0.0077570441381896336
0.078472222222222221,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,14547.312156379023,14668.229599483242,0.0083120126800329056
0.080486111111111105,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,14055.960782062382,14181.078015053521,0.0089013646901183741
0.08249999999999999,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,13564.805352205651,13694.010176449001,0.0095250039266019694
0.084513888888888888,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,13079.260030608719,13212.43056153163,0.010181809262241048
0.086527777777777773,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,12604.717354492932,12741.724091227456,0.01086948107453499
0.088541666666666657,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,12146.03919741754,12286.749294899835,0.011584854551779529
0.090555555555555542,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,11707.802021048044,11852.081088117739,0.012323326514260503
0.09256944444444444,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,11293.506420438127,11441.222014934454,0.013079692789566447
0.094583333333333325,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,10905.933260694259,11056.957024066513,0.013847853252188305
0.096597222222222209,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,10547.062828581997,10701.272150696925,0.01462106793343723
0.098611111111111108,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,10217.506885527357,10374.787736894717,0.015393270895676334
0.10062499999999999,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,9917.5747185926975,10077.821768570164,0.016157886834676182
0.10263888888888888,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,9646.3289064114288,9809.4474126533878,0.016909905086643105
0.10465277777777778,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,9402.2514957171061,9568.1577434284482,0.017645374385796355
0.10666666666666666,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,9183.526535192188,9352.14739767026,0.01836123212928063
0.10868055555555554,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,8987.5439967850725,9158.8170261537052,0.01905671109147267
0.11069444444444444,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,8811.5845059017847,8985.4572655035226,0.019732292130352061
0.11270833333333333,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,8652.787739910098,8829.2162423064219,0.02038978739563499
0.11472222222222221,b2_A_plus_0p40,A,1,0.20000000000000001,0.40000000000000002,8508.0786220863047,8687.0255686916898,0.021032592028575398
