k,mu,P_AA,P_AB,P_BB,geometric_mean,r_minus_one,valid_geometric_mean
0.01,0,40203.028279490609,26863.79088524271,17935.926135804984,26852.905720920084,0.00040536262390955535,1
0.01,0.5,48976.816135280773,34256.821443450601,23947.866130139453,34247.485108955923,0.00027261372521159011,1
0.01,1,80446.493975053891,61591.465133690523,47146.724961177963,61585.62109399341,9.4892924570766368e-05,1
0.01201388888888889,0,42848.429635144232,28628.675002505533,19113.943835936938,28618.219327977808,0.00036535028290551885,1
0.01201388888888889,0.5,52182.531875071378,36493.899650973624,25509.8504485882,36485.183076993839,0.00023890722876163117,1
0.01201388888888889,1,85630.209897077584,65545.404735918928,50164.339557404623,65540.69671317836,7.1833577863333886e-05,1
0.014027777777777778,0,44393.06825241691,29656.695464352528,19798.765929175119,29646.719332963261,0.00033650034856225197,1
0.014027777777777778,0.5,54043.423057079381,37788.368201019162,26411.25975122536,37780.350504010486,0.00021221870368370865,1
0.014027777777777778,1,88587.826231614818,67790.491815234724,51870.429736758793,67787.082958917585,5.0287697424655775e-05,1
0.016041666666666666,0,45039.619506701267,30083.504899132091,20081.171383543191,30074.047256125057,0.00031447855775734723,1
0.016041666666666666,0.5,54807.698396981825,38314.197741418786,26774.008455902534,38306.941672878915,0.00018941915545833687,1
0.016041666666666666,1,89733.478094742415,68644.673410997988,52509.04968712198,68642.695604667955,2.881306324886701e-05,1
0.018055555555555554,0,44960.96276703789,30024.847529194212,20038.637815109887,30015.936578879446,0.00029687397197641907,1
0.018055555555555554,0.5,54687.231192822117,38219.945908699359,26702.237340740277,38213.497966277195,0.00016873468186173746,1
0.018055555555555554,1,89421.428455601985,68380.067711126962,52289.172519085907,68379.620497762851,6.5401556905708702e-06,1
0.020069444444444445,0,44308.484977290631,29582.098238775914,19739.036899329327,29573.752212394676,0.00028221060084954175,1
0.020069444444444445,0.5,53867.609646170116,37635.769891019212,26287.207497386615,37630.161202911404,0.0001490476768772897,1
0.020069444444444445,1,87962.227031017319,67235.2857301482,51394.088699494278,67236.437280965125,-1.7126886305951494e-05,1
0.022083333333333333,0,43213.800219955236,28843.405600545117,19241.394557918404,28835.633864703232,0.00026951846726697148,1
0.022083333333333333,0.5,52510.183859428063,36674.847210321328,25608.28723622606,36670.095051680401,0.00012959220951658246,1
0.022083333333333333,1,85625.825638351904,65417.784024386594,49983.184541921779,65420.573556306888,-4.2639979576097886e-05,1
0.024097222222222221,0,41797.473861079838,27889.510064541199,18599.771299809629,27882.314371763616,0.00025807372665132,1
0.024097222222222221,0.5,50762.631076745478,35440.746329333306,24738.094563139486,35436.856066111352,0.00010978014569618111,1
0.024097222222222221,1,82658.61546181493,63116.857804628868,48201.853301892246,63121.299547996678,-7.0368376437368596e-05,1
0.026111111111111113,0,40163.461873674947,26790.024008889744,17860.773652477881,26783.399739869346,0.00024732741491884092,1
0.026111111111111113,0.5,48752.173277389455,34022.677242242462,23739.171426585064,34019.644308113035,8.9152435044814737e-05,1
0.026111111111111113,1,79272.258236909111,60495.079719619353,46174.933016513183,60501.167047892668,-0.00010061505538394577,1
0.028124999999999997,0,38395.894871505945,25601.285554197253,17062.121892931402,25595.222962221174,0.0002368641986447706,1
0.028124999999999997,0.5,46581.685658778144,32492.77520577388,22662.087729278483,32490.587051897102,6.7347317340926693e-05,1
0.028124999999999997,1,75637.43620198268,57683.531312507199,44003.067931952166,57691.24061237149,-0.00013363033594804286,1
0.030138888888888889,0,36577.107539447083,24378.397681290433,16240.688927740666,24372.882993701787,0.00022626324469166015,1
0.030138888888888889,0.5,44351.554045599318,30921.371452925181,21556.110295336428,30920.009553305663,4.40458990536019e-05,1
0.030138888888888889,1,71919.2382370337,54808.841003495974,41783.368697467602,54818.13612025667,-0.00016956280199498242,1
0.03215277777777778,0,34770.623977187905,23163.862061498996,15424.907325818924,23158.878481243879,0.00021519091518840128,1
0.03215277777777778,0.5,42139.060863615494,29362.5868442438,20459.134407121943,29362.028369964522,1.9020289478755004e-05,1
0.03215277777777778,1,68243.882915937138,51967.75625476562,39589.98125701071,51978.592185125453,-0.00020846910053351486,1
0.034166666666666665,0,33016.583575438381,21984.533503780272,14632.741358613332,21980.062056428113,0.00020343197124206291,1
0.034166666666666665,0.5,39992.937306238869,27850.542839322297,19395.04800667911,27850.761910271158,-7.8658871008885356e-06,1
0.034166666666666665,1,64690.399680858172,49220.837881605439,37469.305843397604,49233.163322842716,-0.00025034835069304151,1
0.036180555555555556,0,31350.253394776781,20863.986887541476,13879.948189359007,20860.00701924086,0.00019078940371142217,1
0.036180555555555556,0.5,37955.804045023215,26415.046556553098,18384.694622609077,26416.015341518527,-3.667415213481906e-05,1
0.036180555555555556,1,61326.950482896689,46620.224690626354,35461.220309267475,46633.984410186706,-0.00029505777244598352,1
0.038194444444444448,0,29802.744702078835,19822.997793737402,13180.400057853531,19819.487833833493,0.00017709639791596565,1
0.038194444444444448,0.5,36065.041726673793,25082.202538258698,17446.303017279148,25083.892167970411,-6.7359152255863641e-05,1
0.038194444444444448,1,58212.257219419655,44210.733158227675,33599.926644073334,44225.869944619844,-0.00034226090772493389,1
0.040208333333333332,0,28389.426631771792,18871.814188110395,12540.92934364549,18868.751773650998,0.0001623008504290091,1
0.040208333333333332,0.5,34338.86739161404,23864.702589566328,16588.714989609085,23867.083697541821,-9.976535070921333e-05,1
0.040208333333333332,1,55373.676216118423,42013.159118550138,31901.232321872081,42029.614672115618,-0.00039152282726961918,1
0.042222222222222223,0,27114.474813167366,18013.199019069136,11963.363595969631,18010.561371142263,0.00014645006740865441,1
0.042222222222222223,0.5,32781.910282435914,22765.73107763091,15814.120341204194,22768.774104483549,-0.00013364913010582846,1
0.042222222222222223,1,52816.527719499463,40031.434017499363,30368.038995096864,40049.149471260615,-0.00044234282113686518,1
0.044236111111111115,0,25975.719258074787,17245.670817604336,11446.691535700935,17243.434859828492,0.00012967009148812103,1
