k,P0_AA,P0_AB,P0_BB,P2_AA,P2_AB,P2_BB,P4_AA,P4_AB,P4_BB
0.01,52702.747423818706,37523.630499326566,26755.48062374807,26176.682930334529,22498.582541345102,18819.727907105902,1568.4768708372558,1570.6779308426894,1572.9548910287795
0.01201388888888889,56141.674919206409,39965.052992701596,28492.941705172558,27831.866121202285,23920.531433096512,20008.280445698263,1658.7531875079803,1661.931030021381,1665.2546055767161
0.014027777777777778,58131.250167956176,41372.126022042401,29490.909739754788,28755.811097344114,24713.471640471122,20670.248092912567,1703.5713094350012,1707.7487239237907,1712.1748972936502
0.016041666666666666,58939.403647570056,41936.090163900888,29886.130518544524,29085.713440157029,24995.195511899707,20904.115487185369,1711.8879241041286,1716.9944114981618,1722.4904820253751
0.018055555555555554,58794.941692229404,41820.331620354191,29795.480580461473,28939.217399296926,24866.712030895986,20794.342519595601,1691.464925317734,1697.3418652032742,1703.7900872712507
0.020069444444444445,57898.315505956991,41168.025524457466,29321.403379755095,28419.546599802634,24416.659746769139,20415.054900897689,1649.1325832766706,1655.5446055003786,1662.7520167219282
0.022083333333333333,56423.791566739732,40103.665521216128,28552.989951389318,27616.42626532332,23722.103297916627,19830.711438464845,1590.8148258726887,1597.4650380413532,1605.1771913478724
0.024097222222222221,54530.779147807712,38741.103005943245,27571.695903858115,26611.507826857996,22853.197149190146,19100.002862060817,1521.8172791917277,1528.3675191740685,1536.2873765657887
0.026111111111111113,52356.528342697093,37178.341918562975,26447.623764959477,25474.721346348211,21870.049619898102,18273.227892286795,1446.6075917369708,1452.697980013997,1460.5043443378809
0.028124999999999997,50011.961139328938,35494.578670905452,25237.417209547217,24262.293146142489,20821.016366970951,17390.865370074425,1368.7149172653881,1373.9802876334043,1381.3433393426103
0.030138888888888889,47605.124294462075,33766.873872940683,23996.135002192808,23028.061480496217,19752.440748276353,16491.726074047245,1291.3515359470548,1295.4462667507496,1302.0517435474758
0.03215277777777778,45219.083328607114,32054.434820951014,22766.054163171746,21812.865497606221,18699.514578351133,15605.300420795284,1216.8467930051775,1219.4585806227979,1225.021181376721
0.034166666666666665,42906.142535662577,30394.532102968096,21573.77953946343,20642.074350516668,17684.135013329054,14749.958029465233,1146.5731581000455,1147.4256643255176,1151.6916031266296
0.036180555555555556,40711.922661057026,28819.622802855592,20442.444106567222,19537.198361440289,16724.904374432801,13941.320111930667,1081.5833427835751,1080.4477300531653,1083.2063990777883
0.038194444444444448,38676.297401366159,27358.020589491964,19392.18906163489,18516.350573618853,15837.530580307242,13192.596816315883,1022.6393780680228,1019.3456596189344,1020.4412634218666
0.040208333333333332,36818.533928716497,26023.359984122879,18432.679495870627,17587.471364088469,15028.971231937339,12509.675474757616,969.91387031463091,964.34627640597682,963.6735881891118
0.042222222222222223,35143.315189522837,24818.891885469166,17566.173951143843,16751.42895968119,14300.090524640027,11893.338682249099,923.19534870325515,915.28485187583419,912.78223603704419
0.044236111111111115,33647.085296792502,23742.001563981416,16790.747186437475,16005.153225941896,13648.353178967731,11341.517402675687,882.07299490657351,871.79031301548775,867.43331753527036
0.046249999999999999,32321.407721679341,22786.603388547002,16102.000896781474,15343.306037298957,13069.26132902377,10850.493675550098,846.03638141892588,833.38513232936793,827.1802734848452
0.048263888888888891,31155.880212901197,21945.215138483531,15494.542479129894,14759.654786291259,12557.541584782964,10415.897048503717,814.5428529220726,799.55512797359506,791.53606894420727
0.050277777777777775,30135.749298796301,21207.279046306059,14960.801285595568,14246.118411960004,12106.312725618023,10032.003438139831,786.99799242521567,769.72457599134259,759.94286238170889
0.052291666666666667,29239.571976796233,20557.516333807242,14489.868729304631,13791.882082843893,11706.306247292496,9691.0744355780826,762.74751510055285,743.24147459456708,731.75052290644408
